Country Name,Country Code,2015,2016,2017,2018,2019,2020,2021
United States,USA,5.28,4.87,4.36,3.9,3.67,8.05,5.46
Uzbekistan,UZB,5.2,5.2,5.8,5.84,5.85,7.04,7.16
St. Vincent and the Grenadines,VCT,19.09,19.11,19.18,19.18,19.28,21,21.62
"Venezuela, RB",VEN,6.08,5.32,5.05,5.02,5.1,6.63,6.41
Virgin Islands (U.S.),VIR,12.62,12.68,12.32,12.43,12.47,13.55,13.27
Vietnam,VNM,1.85,1.85,1.87,1.16,2.04,2.39,2.17
Vanuatu,VUT,1.86,1.78,1.75,1.81,1.8,2.12,2.18
World,WLD,5.62,5.66,5.56,5.39,5.36,6.57,6.18
Samoa,WSM,8.5,8.31,8.58,8.69,8.41,9.15,9.84
"Yemen, Rep.",YEM,13.77,13.43,13.3,13.15,13.06,13.39,13.57
South Africa,ZAF,25.15,26.54,27.04,26.91,28.47,29.22,33.56
Zambia,ZMB,10.13,10.87,11.63,12.01,12.52,12.85,13.03
Zimbabwe,ZWE,4.78,4.79,4.78,4.8,4.83,5.35,5.17
